date,Close,High,Low,Open,Volume
2024/2/5,148.5010071,148.8800049,148.2799988,148.5010071,0
2024/2/6,148.6399994,148.7830048,148.0059967,148.6399994,0
2024/2/7,147.8179932,148.2449951,147.6629944,147.8179932,0
2024/2/8,148.0859985,149.473999,147.9349976,148.0859985,0
2024/2/9,149.2590027,149.5709991,149.0590057,149.2590027,0
2024/2/12,149.1670074,149.4759979,148.9320068,149.1670074,0
2024/2/13,149.4049988,150.7539978,149.2839966,149.4049988,0
2024/2/14,150.723999,150.7740021,150.3630066,150.723999,0
2024/2/15,150.5440063,150.5590057,149.7590027,150.5440063,0
2024/2/16,149.9459991,150.6369934,149.9299927,149.9459991,0
2024/2/19,150.0910034,150.1869965,149.8829956,150.1390076,0
2024/2/20,150.2700043,150.4340057,149.697998,150.2700043,0
2024/2/21,149.9389954,150.2949982,149.8569946,149.9389954,0
2024/2/22,150.3549957,150.6390076,150.0160065,150.3549957,0
2024/2/23,150.4830017,150.7619934,150.3059998,150.4830017,0
2024/2/26,150.4980011,150.8139954,150.2960052,150.496994,0
2024/2/27,150.5659943,150.6000061,150.128006,150.5659943,0
2024/2/28,150.4949951,150.8370056,150.3730011,150.4949951,0
2024/2/29,150.6560059,150.6410065,149.2149963,150.6560059,0
2024/3/1,150.0950012,150.697998,150.0690002,150.0950012,0
2024/3/4,150.1049957,150.5659943,149.8439941,150.1049957,0
2024/3/5,150.4660034,150.5420074,149.7330017,150.4660034,0
2024/3/6,150.048996,150.076004,149.1390076,150.048996,0
2024/3/7,149.2689972,149.2590027,147.5829926,149.2689972,0
2024/3/8,147.8679962,148.1000061,146.5039978,147.8679962,0
2024/3/11,146.7740021,147.125,146.4949951,146.7740021,0
2024/3/12,146.7319946,147.9559937,146.6450043,146.7319946,0
2024/3/13,147.6190033,148.0310059,147.2519989,147.6190033,0
2024/3/14,147.6210022,148.3029938,147.5090027,147.6210022,0
2024/3/15,148.2960052,149.1580048,148.0570068,148.2960052,0
2024/3/18,148.9550018,149.3209991,148.9290009,148.9550018,0
2024/3/19,149.1439972,150.8390045,149.1170044,149.1439972,0
2024/3/20,151.0350037,151.7910004,151.0160065,151.0350037,0
2024/3/21,150.7599945,151.6519928,150.276001,150.7599945,0
2024/3/22,151.6329956,151.845993,151.026001,151.6329956,0
2024/3/25,151.3049927,151.4299927,151.0570068,151.3049927,0
2024/3/26,151.3730011,151.5910034,151.2189941,151.3730011,0
2024/3/27,151.5299988,151.9440002,151.0379944,151.5299988,0
2024/3/28,151.2870026,151.5390015,151.1519928,151.2870026,0
2024/3/29,151.4400024,151.4889984,151.1690063,151.4400024,0
2024/4/1,151.397995,151.7539978,151.2579956,151.397995,0
2024/4/2,151.5809937,151.7870026,151.477005,151.5809937,0
2024/4/3,151.5399933,151.9470062,151.4589996,151.5399933,0
2024/4/4,151.5809937,151.7630005,151.5119934,151.5809937,0
2024/4/5,151.2920074,151.7429962,150.8540039,151.2920074,0
2024/4/8,151.6900024,151.9320068,151.677002,151.6900024,0
2024/4/9,151.8430023,151.9279938,151.5789948,151.8430023,0
2024/4/10,151.7769928,152.9259949,151.6829987,151.7769928,0
2024/4/11,152.9640045,153.3090057,152.7669983,152.9640045,0
2024/4/12,153.1920013,153.3769989,152.6170044,153.1920013,0
2024/4/15,153.2830048,154.4360046,153.2850037,153.2830048,0
2024/4/16,154.2059937,154.7610016,154.1499939,154.2059937,0
2024/4/17,154.697998,154.727005,154.4609985,154.697998,0
2024/4/18,154.3419952,154.6410065,153.9850006,154.3419952,0
2024/4/19,154.6100006,154.6609955,153.6179962,154.6100006,0
2024/4/22,154.6399994,154.7839966,154.5870056,154.6289978,0
2024/4/23,154.8130035,154.8710022,154.5939941,154.8130035,0
2024/4/24,154.7440033,155.1300049,154.7400055,154.7440033,0
2024/4/25,155.2590027,155.7359924,155.2590027,155.2590027,0
2024/4/26,155.5970001,157.6660004,155.4790039,155.5970001,0
2024/4/29,158.223999,159.9609985,154.548996,158.223999,0
2024/4/30,156.3139954,157.5559998,156.2039948,156.3139954,0
2024/5/1,157.7220001,157.9819946,157.4210052,157.7220001,0
2024/5/2,155.7039948,156.2510071,153.4949951,155.7039948,0
2024/5/3,153.0449982,153.4100037,151.8809967,153.0449982,0
2024/5/6,153.5659943,154.0050049,153.3209991,153.5659943,0
2024/5/7,154.2369995,154.6399994,153.8939972,154.2369995,0
2024/5/8,154.7480011,155.6499939,154.6940002,154.7480011,0
2024/5/9,155.4190063,155.9470062,155.2259979,155.4190063,0
2024/5/10,155.3890076,155.8860016,155.3809967,155.3890076,0
2024/5/13,155.8179932,156.2100067,155.595993,155.8179932,0
2024/5/14,156.2330017,156.6710052,156.227005,156.2330017,0
2024/5/15,156.4980011,156.5529938,154.7590027,156.4980011,0
2024/5/16,154.2819977,155.5160065,153.5899963,154.2819977,0
2024/5/17,155.3789978,155.9750061,155.2709961,155.3789978,0
2024/5/20,155.7539978,156.2189941,155.5140076,155.7539978,0
2024/5/21,156.3699951,156.5240021,155.871994,156.3699951,0
2024/5/22,156.2510071,156.6049957,156.1470032,156.2510071,0
2024/5/23,156.7039948,157.1629944,156.529007,156.7039948,0
2024/5/24,156.9730072,157.1369934,156.8679962,156.9730072,0
2024/5/27,156.8699951,156.9550018,156.6779938,156.8699951,0
2024/5/28,156.8450012,156.9889984,156.6119995,156.8450012,0
2024/5/29,157.2619934,157.6390076,157.0220032,157.2619934,0
2024/5/30,157.6080017,157.6269989,156.427002,157.6080017,0
2024/5/31,156.9530029,157.3619995,156.5700073,156.9530029,0
2024/6/3,157.1799927,157.451004,155.970993,157.1799927,0
2024/6/4,156.076004,156.4790039,154.6009979,156.076004,0
